	time	close	E_M_A	Momentum	Av_True_Range	CCI	MACDHist	Return
0	1726146000	57619.34	57832.35444500043	-0.001261870334503156	37280.44311498743	-64.01525146496253	-32.95383260377771	-0.0012618703345032012
1	1726149600	57533.42	57813.0683517746	-0.0014911659869758706	34694.2364639169	9.207592228739834	-51.49179504930905	-0.001491165986975851
2	1726153200	57499.0	57792.80587746656	-0.0005982609759683721	32251.171002208554	-70.86971474046943	-63.184166374184116	-0.0005982609759683788
3	1726156800	58063.99	57810.30162730743	0.009826083931894432	29993.27307347937	7.419087493926656	-31.575965015250247	0.009826083931894436
4	1726160400	58395.4	57848.04990941663	0.005707668384484144	27881.46856823084	113.66871116126674	10.680680381998656	0.00570766838448411
5	1726164000	58183.48	57869.690560422016	-0.003629052973350611	25925.50438478578	87.5534228833933	22.698006317175555	-0.0036290529733505883
6	1726167600	58407.05	57904.358911362535	0.0038424996236044954	24097.346928729654	127.83246916387431	42.87216563151132	0.0038424996236043896
7	1726171200	58203.01	57923.626723532696	-0.00349341389438434	22397.63214810611	89.99183827733202	39.714521753608494	-0.0034934138943842896
8	1726174800	57920.56	57923.42887040156	-0.004852841803198913	20840.586280384243	-10.931348888526829	17.00402410835335	-0.004852841803198893
9	1726178400	58141.84	57937.51991102082	0.0038204050513323566	19378.990117499656	25.319194151647523	15.336814521699807	0.0038204050513324095
10	1726182000	58137.54	57950.424432890446	-7.395706775010277e-05	18007.39725196397	33.23790828868571	12.515583788799077	-7.39570677501522e-05
11	1726185600	58029.65	57955.53575980075	-0.0018557716752377108	16739.6245911094	22.83735175111725	2.4795311934470305	-0.0018557716752377607
12	1726189200	58129.66	57966.76958174909	0.0017234293158756263	15570.945691744444	25.94024499695971	1.7095154444252643	0.0017234293158756575
13	1726192800	58050.98	57972.20251195883	-0.0013535258936659923	14473.344570905554	17.01846516137206	-4.6198371034055725	-0.0013535258936659966
14	1726196400	57858.63	57964.87525312278	-0.0033134668872085503	13457.179958698016	-51.57381673981554	-21.345503438055616	-0.0033134668872085715
15	1726200000	57846.52	57957.23943034067	-0.0002093032621062853	12508.579247362442	-59.7334780325871	-32.15944433051827	-0.00020930326210633066
16	1726203600	57940.7	57956.172370318694	0.0016281013965922287	11629.395015407981	-37.360249558853525	-31.844668228205265	0.0016281013965921964
17	1726207200	57764.76	57943.82318513685	-0.0030365528894196144	10814.553228593124	-80.63353951132036	-41.73697590608837	-0.003036552889419619
18	1726210800	58128.65	57955.74749577318	0.006299515483142307	10070.91799797933	9.630543379225946	-22.96249836929413	0.006299515483142226
19	1726214400	57958.2	57955.90572185234	-0.0029322889831434992	9368.863140980804	8.389355262846607	-21.252418669390565	-0.0029322889831434606
20	1726218000	58054.27	57962.251804313484	0.0016575739067120738	8716.557202339318	16.853211394977407	-13.270495823211	0.001657573906712173
21	1726221600	58354.53	57987.56007500294	0.005172057111389085	8117.03668788651	113.08570141813304	11.285246135401145	0.005172057111389128
22	1726225200	57883.78	57980.86458629307	-0.008067068657737455	7575.401210180331	-13.747006142258632	-4.2878940832192	-0.00806706865773743
23	1726228800	57903.42	57975.86816137094	0.00033930057781298003	7057.323266596022	-145.12144705195107	-12.891353343726532	0.000339300577812951
24	1726232400	58056.79	57981.08892515347	0.0026487209218385138	6587.475176124877	-56.11147279932291	-8.111625869610247	0.0026487209218384322
25	1726236000	58463.66	58012.2225428855	0.007008138066193509	6169.214806401672	151.97986362903788	21.00212837598732	0.007008138066193492
26	1726239600	59689.81	58120.4539917316	0.020972857327098478	5827.443034515839	739.9021292571978	116.0784555814304	0.020972857327098415
27	1726243200	59461.84	58206.995024523116	-0.003819244859382216	5448.342817764707	573.7612483508569	154.4516798413465	-0.0038192448593822315
28	1726246800	59608.5	58297.414700360336	0.002466455797533401	5097.776187924371	377.186884701508	178.82889464750224	0.002466455797533351
29	1726250400	59781.59	58393.16794549838	0.002903780501102972	4764.420745929773	261.3949064697028	194.43490162466333	0.0029037805011029594
30	1726254000	59760.46	58481.3803361114	-0.00035345329557138545	4450.634264077647	200.99318003150177	190.88736965007848	-0.00035345329557134875
31	1726257600	59874.36	58571.249991846154	0.0019059424910718803	4157.9853880721	159.2282234771529	183.70296623171072	0.0019059424910718992
32	1726261200	60320.0	58684.07257301737	0.007442918805311646	3899.910003209807	163.69535733816082	195.3678361246739	0.00744291880531156
33	1726264800	60647.47	58810.74337475819	0.005428879310344847	3649.032145837678	163.72551649111568	210.24895745229077	0.0054288793103447475
34	1726268400	60543.35	58922.52444735444	-0.001716806983044843	3409.2348497064154	136.80154406274158	198.34360447003792	-0.0017168069830448829
35	1726272000	60447.13	59020.886095912225	-0.0015892744620177306	3182.8509318702427	116.91297037254047	170.3252009553736	-0.0015892744620177313
36	1726275600	60439.39	59112.40247682112	-0.0001280457814952995	2970.0072938795115	103.7326443726885	138.93460184747607	-0.00012804578149527845
37	1726279200	60326.0	59190.69909121976	-0.0018760943814952371	2774.513915745261	86.09981651402565	100.01692670424302	-0.0018760943814952746
38	1726282800	60357.53	59265.978504689454	0.0005226602128435308	2586.985064620599	78.98906982466787	67.44205199833311	0.0005226602128436397
39	1726286400	60238.8	59328.74118180626	-0.001967111642905134	2414.928274290556	65.40393514314702	30.8073942416994	-0.001967111642905084
40	1726290000	59954.74	59369.1282023349	-0.0047155653831086435	2264.951968984088	43.976855863750224	-17.072598226691525	-0.0047155653831086886
41	1726293600	60078.47	59414.89218928103	0.0020637234020196436	2117.3561140566535	38.36771211035513	-43.42788327795813	0.002063723402019546
42	1726297200	60169.06	59463.54817706936	0.0015078613020603972	1979.532820195464	42.86593698249152	-56.926247578979996	0.001507861302060487
43	1726300800	60003.27	59498.368939839085	-0.002755402859875173	1854.197618752931	29.92312091853951	-77.89036268839845	-0.002755402859875189
44	1726304400	60091.46	59536.632879204306	0.0014697532317822402	1737.444217413436	17.71811695370277	-86.04895406471331	0.0014697532317822226
45	1726308000	59874.47	59558.42882248145	-0.003610995638980946	1633.1139161696192	-11.145384547165584	-105.03335607960707	-0.0036109956389809295
46	1726311600	59733.04	59569.694059740716	-0.0023621085915249067	1535.843636443218	-79.50189435762549	-124.74651780547066	-0.0023621085915248585
47	1726315200	59811.8	59585.31379782196	0.001318533260654439	1442.5276624115595	-80.31299905140915	-129.54672154390778	0.001318533260654453
48	1726318800	59788.92	59598.44968183345	-0.0003825332125099839	1351.134257953591	-94.69012818762188	-130.93930168332463	-0.0003825332125100278
49	1726322400	59932.52	59620.00260558614	0.002401782805242151	1277.3203823854772	-58.210471703704364	-119.20024618828103	0.0024017828052420587
50	1726326000	59898.04	59637.94050199994	-0.000575313702811027	1195.5289265008	-59.75521364999918	-110.93888466638805	-0.0005753137028110533
51	1726329600	59999.22	59661.24885670962	0.0016892038537488086	1120.8554317507428	-48.540984763081525	-96.37999214268223	0.0016892038537488219
52	1726333200	59906.4	59677.06505950255	-0.0015470201112614415	1050.6136151971184	-59.727023363796015	-90.79808767686967	-0.001547020111261399
53	1726336800	59795.19	59684.686023405615	-0.0018563959777252368	1012.1819283973242	-110.19615850912773	-92.10205769757081	-0.0018563959777252448
54	1726340400	59826.1	59693.80950576655	0.0005169312113565693	952.5625049403726	-72.50153845138567	-88.37391858008863	0.0005169312113566527
55	1726344000	60026.8	59715.29276345904	0.0033547231058017215	910.8308974446317	-20.01227908048281	-70.65016297968754	0.00335472310580176
56	1726347600	60042.13	59736.37903678427	0.0002553859276189047	854.9886904843008	3.913346958930574	-56.752188993021235	0.00025538592761886747
57	1726351200	60031.33	59755.40813118528	-0.00017987369868450095	808.3459268782792	23.139890909760616	-47.518901402881596	-0.00017987369868455172
58	1726354800	60012.35	59771.98502594753	-0.00031616824081697343	759.5869321012594	25.052146802556816	-42.107096370508685	-0.0003161682408169275
59	1726358400	60046.4	59789.689217821884	0.0005673832136219114	716.0335798083125	72.57129975446513	-35.89399703102748	0.0005673832136219303
60	1726362000	60250.05	59819.38991344628	0.0033915438727384396	683.2926098220042	171.62606590759125	-18.59907741421773	0.003391543872738545
61	1726365600	60249.69	59847.151209352975	-5.975098775861299e-06	645.2538519775753	171.96295854397846	-8.241966338733903	-5.975098775867771e-06
62	1726369200	60187.23	59869.09177649149	-0.00103668583191049	607.4292911220342	140.9783569433344	-6.7205679407694845	-0.001036685831910522
63	1726372800	60145.46	59886.92198445978	-0.0006940010364325467	574.6664846133175	112.61160202332806	-9.481272292741522	-0.0006940010364325788
64	1726376400	60168.16	59905.06637255915	0.00037741834545790097	542.0338785695095	116.73798533491971	-10.645260482528641	0.00037741834545790276
65	1726380000	60170.97	59922.22144529727	4.6702441955972586e-05	507.6750301002585	98.86864989240514	-11.992510362461758	4.670244195592588e-05
