	low	high	open	close	volume	Times	E_M_A	Momentum	Av_True_Range	CCI	MACDHist	Return
0	5.30049991607666	5.823999881744385	5.813000202178955	5.430500030517578	257326000	2010-06-29	5.430500030517578				0.0	0.0
1	5.4054999351501465	5.633999824523926	5.428999900817871	5.4629998207092285	194814000	2010-06-30	5.432596791175104	0.005984677287360746			0.00207406068459548	0.005984677287360851
2	5.335000038146973	5.584499835968018	5.445000171661377	5.547999858856201	170596000	2010-07-01	5.440042150380337	0.015559224041112565			0.008685092707270314	0.015559224041112651
3	5.427999973297119	5.564499855041504	5.546000003814697	5.456999778747559	89542000	2010-07-02	5.441136190920157	-0.01640232199418324			0.00654153778427272	-0.016402321994183233
4	5.449999809265137	5.626500129699707	5.53249979019165	5.502999782562256	104386000	2010-07-06	5.445127390380938	0.008429541081135021			0.007751261870363749	0.008429541081135028
5	5.490499973297119	5.68149995803833	5.492000102996826	5.671500205993652	98820000	2010-07-07	5.459732088162403	0.03061974015796542			0.01879936444287603	0.030619740157965314
6	5.703499794006348	5.874000072479248	5.750999927520752	5.810999870300293	135500000	2010-07-08	5.4823945257196876	0.024596607465378756			0.033541204006069344	0.024596607465378728
7	5.732500076293945	5.869999885559082	5.827499866485596	5.86299991607666	81302000	2010-07-09	5.506949712194331	0.008948553938563416			0.04416494633765063	0.00894855393856342
8	5.866000175476074	5.985000133514404	5.890500068664551	5.975500106811523	95672000	2010-07-12	5.537178769911569	0.01918816175084392			0.05541094804286312	0.019188161750843813
9	6.014999866485596	6.24399995803833	6.0345001220703125	6.182499885559082	141822000	2010-07-13	5.578812390275925	0.03464141495229793			0.07236188605540694	0.034641414952298
10	6.073500156402588	6.1875	6.151500225067139	6.164999961853027	105140000	2010-07-14	5.616630943280899	-0.0028305578697915613			0.07750799752771247	-0.0028305578697915834
11	5.9629998207092285	6.124000072479248	6.006499767303467	6.103000164031982	120954000	2010-07-15	5.648009602684195	-0.010056739368155569			0.07196877034434676	-0.010056739368155543
12	5.9004998207092285	6.0960001945495605	6.064000129699707	5.924499988555908	124558000	2010-07-16	5.665847692095274	-0.029247938829833987			0.05242374202188686	-0.029247938829834008
13	5.849999904632568	6.0370001792907715	5.919000148773193	5.997000217437744	100618000	2010-07-19	5.687212371149626	0.012237358261774224			0.04102350667530327	0.0122373582617743
14	5.875500202178955	6.0355000495910645	6.0304999351501465	6.005000114440918	135700000	2010-07-20	5.707714806200678	0.0013339831104077955	5.997000217437744		0.031116127584125547	0.001333983110407777
15	5.86299991607666	6.0625	6.031000137329102	5.871500015258789	100234000	2010-07-21	5.718281593881846	-0.022231489864768826	5.582893065043858		0.013562683919867285	-0.02223148986476886
16	5.901000022888184	6.043499946594238	5.935500144958496	6.003499984741211	300068000	2010-07-22	5.736682780388902	0.02248147307151185	5.1964006983504		0.009049697658158717	0.022481473071511937
17	5.289999961853027	5.964000225067139	5.296500205993652	5.94350004196167	848422000	2010-07-23	5.750025829522629	-0.009994160561678988	4.873372095840665		0.0006731837126372486	-0.00999416056167901
18	5.74399995803833	5.929999828338623	5.913000106811523	5.920000076293945	222756000	2010-07-26	5.760991909959488	-0.003953893413277133	4.5385597940163525		-0.0073579948867495415	-0.003953893413277121
19	5.753499984741211	5.925000190734863	5.921500205993652	5.856500148773193	155922000	2010-07-27	5.767153731818437	-0.010726338969999532	4.226626966300445		-0.017287650087901923	-0.010726338969999527
