	close	Times	E_M_A	Momentum	Av_True_Range	CCI	MACDHist	Return
0	1121.5440673828125	2010-06-29	1121.5440673828125				0.0	0.0
1	1141.5177001953125	2010-06-30	1122.8326888545866	0.01780904860841502			1.2746705840456343	0.017809048608415035
2	1108.0615234375	2010-07-01	1121.879710440581	-0.029308504591815075			-0.13121119971114248	-0.02930850459181511
3	1107.0626220703125	2010-07-02	1120.9237692554025	-0.0009014854735580419			-1.0718660842817118	-0.0009014854735580613
4	1121.5440673828125	2010-07-06	1120.963788489429	0.013080963103440634			-0.6812525181699836	0.013080963103440535
5	1116.051025390625	2010-07-07	1120.6468360314416	-0.004897749586430277			-0.7498746901689284	-0.0048977495864303
6	1140.5194091796875	2010-07-08	1121.9289375248768	0.02192407267445358			0.811037675816688	0.02192407267445362
7	1140.5194091796875	2010-07-09	1123.128322792929	0.0			1.7481215056394797	0.0
8	1153.502685546875	2010-07-12	1125.0879590996353	0.011383652275173161			3.069656255678562	0.011383652275173128
9	1174.9747314453125	2010-07-13	1128.3064605412922	0.018614647514459504			5.097617431764169	0.018614647514459515
10	1179.9681396484375	2010-07-14	1131.6394720965918	0.004249800501652244			6.398797268162768	0.0042498005016522455
11	1201.4400634765625	2010-07-15	1136.14273605659	0.018197036942474053			8.213270860870773	0.018197036942473988
12	1185.960205078125	2010-07-16	1139.356766316044	-0.012884420013133247			7.877453210611357	-0.01288442001313328
13	1186.4593505859375	2010-07-19	1142.3956427205533	0.00042087879987475537			7.213267173581386	0.0004208787998747354
14	1171.9783935546875	2010-07-20	1144.3042072904975	-0.012205185979695405	1186.4593505859375		5.405648280078207	-0.012205185979695443
15	1184.4622802734375	2010-07-21	1146.8950507087518	0.010651976851625696	1103.9949981890527		4.684618960912356	0.010651976851625777
16	1201.939453125	2010-07-22	1150.446302477542	0.014755364643209938	1027.1356220434861		4.990423146114377	0.014755364643209923
17	1185.4613037109375	2010-07-23	1152.7053348151805	-0.013709633518743308	955.3381830776023		3.7454723931004956	-0.013709633518743325
18	1170.4798583984375	2010-07-26	1153.852078272165	-0.012637650225783389	889.3824844224642		1.6807803335583191	-0.012637650225783337
19	1153.502685546875	2010-07-27	1153.8295368060174	-0.014504455356277802	828.4946026940908		-0.920668633911486	-0.014504455356277757
20	1133.2117919921875	2010-07-28	1152.4993597212542	-0.01759067734208837	770.850388210482	-39.608610917686214	-3.9315497027641513	-0.017590677342088412
21	1120.226318359375	2010-07-29	1150.417228020488	-0.011458999742655364	717.3236085576247	-71.4002728875277	-6.566043890207011	-0.011458999742655407
22	1109.7384033203125	2010-07-30	1147.7927877172508	-0.009362318013044501	667.2634451135744	-101.0973648008469	-8.652167836706154	-0.009362318013044546
23	1122.723388671875	2010-08-02	1146.1754071336784	0.011700942593958824	620.7433046197029	-86.86171774497149	-8.767520168839063	0.01170094259395893
24	1137.20703125	2010-08-03	1145.5968022379573	0.012900455022370574	577.581734233416	-61.41723646120894	-7.525960318402504	0.012900455022370583
25	1128.7166748046875	2010-08-04	1144.5077617583916	-0.007465972520395019	537.1463904214249	-69.11842492808651	-6.947992578943064	-0.007465972520395048
26	1130.7142333984375	2010-08-05	1143.6178567029106	0.001769760860577041	499.7063029868641	-73.6204072538431	-6.131099426044425	0.0017697608605771187
27	1131.2137451171875	2010-08-06	1142.8175914393155	0.00044176654365505247	465.0831976336358	-66.61902808861109	-5.288903177749748	0.000441766543655131
28	1150.6915283203125	2010-08-09	1143.325587367122	0.01721848173008825	433.43261263285797	-38.11938473640038	-3.2517933288545713	0.01721848173008822
29	1175.663330078125	2010-08-10	1145.411893348477	0.02170156044710292	404.3638454514358	23.08891116247704	-0.214496524972148	0.02170156044710292
30	1164.175537109375	2010-08-11	1146.6224510104705	-0.009771328810592924	376.2655435125612	22.668628642956854	0.9642006898808744	-0.00977132881059295
31	1194.6414794921875	2010-08-12	1149.7204528480008	0.02616954351957853	351.8152433033983	69.8796051913883	3.5913662038320853	0.026169543519578564
32	1223.109375	2010-08-13	1154.4552220190976	0.023829656006849432	328.8973755207527	157.57415476038824	6.852987094939366	0.023829656006849387
33	1216.61669921875	2010-08-16	1158.4656399029464	-0.005308336207667446	307.2240744981877	163.55512622384623	8.094571439114738	-0.005308336207667463
34	1215.6177978515625	2010-08-17	1162.1528758996315	-0.0008210485420995324	286.13565592741975	137.38145308007995	8.337100790315645	-0.0008210485420995228
35	1215.11865234375	2010-08-18	1165.570022766994	-0.00041061056254249577	266.66058818134917	130.26694717960527	7.953619349782114	-0.000410610562542546
36	1189.148193359375	2010-08-19	1167.0911950632767	-0.021372776176452033	249.86085168316384	73.91360489254177	5.554221575828249	-0.021372776176452057
37	1205.129150390625	2010-08-20	1169.5452566972992	0.013438995341786102	233.6546358068926	76.4393929495414	4.681649064488555	0.013438995341786164
38	1226.10546875	2010-08-23	1173.1943026361832	0.01740586753923912	218.49899994259997	117.64618159448159	5.119924605804808	0.017405867539239228
39	1198.63720703125	2010-08-24	1174.835780339091	-0.022402853929648945	204.49724474713932	76.09665982040946	3.253549914042262	-0.022402853929648914
40	1204.1312255859375	2010-08-25	1176.725809064694	0.004583554158388697	190.96050969542588	60.55850673629001	2.136663772835215	0.004583554158388736
41	1208.626220703125	2010-08-26	1178.7839001381412	0.003732977786536686	178.17664045507235	62.9585906301185	1.4794663213775898	0.0037329777865366953
42	1224.1083984375	2010-08-27	1181.708061318745	0.012809731800596016	166.8766912629108	81.80431350894139	1.8426485349332449	0.01280973180059597
